Headline,Ground_Truth,Zero-shot_Prediction
where does chicago go after more than 750 homicides?,Non-Sarcastic,Non-Sarcastic
watch kristin davis' 'sex and the city' nightmare sketch come true,Non-Sarcastic,Non-Sarcastic
guest searches hand towel for low-traffic area,Sarcastic,Sarcastic
kim cattrall offers curt response to cynthia nixon's new york governor run,Non-Sarcastic,Non-Sarcastic
expert conversation: 'the right to luxury could constitute a legitimate claim',Non-Sarcastic,Non-Sarcastic
"yes, men are still harassing people on the street. no, it's still not okay.",Non-Sarcastic,Non-Sarcastic
area man finally sees enough images of bare breasts for entire lifetime,Sarcastic,Sarcastic
sepp blatter faces 90-day suspension from fifa,Non-Sarcastic,Non-Sarcastic
can you survive five days on the amazon?,Non-Sarcastic,Non-Sarcastic
birdman is an astonishing new film,Non-Sarcastic,Non-Sarcastic
autonomy: the self-driving car and you,Non-Sarcastic,Non-Sarcastic
"in mental health awareness week, we need more than mental health 'first aid'",Non-Sarcastic,Non-Sarcastic
florida lawmakers vote to ban marriage under the age of 17,Non-Sarcastic,Non-Sarcastic
bigfoot unveiling turns into huge toe job,Non-Sarcastic,Sarcastic
salmonella is on the rise because people won't stop cuddling their chickens,Non-Sarcastic,Sarcastic
u.s. refuses to allow u.n. weapons inspectors back into iraq,Sarcastic,Non-Sarcastic
mom uses face-painting skills to turn kids into 'something magical',Non-Sarcastic,Non-Sarcastic
lululemon executives furious after focus group leaves product testing with self-esteem intact,Sarcastic,Sarcastic
how to register voters in a south carolina jail,Non-Sarcastic,Non-Sarcastic
swarthmore college president surprises community,Non-Sarcastic,Non-Sarcastic
staples brings on extra staff to sit around and do nothing for busy back-to-school season,Sarcastic,Sarcastic
8 times the internet tried to explain the world with 'pokemon go',Non-Sarcastic,Non-Sarcastic
man stays up most of night rocking cat back to sleep,Sarcastic,Sarcastic
jessie james decker shares inspiring message about post-baby bodies,Non-Sarcastic,Non-Sarcastic
barry white de-euphemized,Sarcastic,Sarcastic
thousands protest in mexico one year after 43 students went missing,Non-Sarcastic,Non-Sarcastic
proposed law would require mothers to look at pictures of congressmen she disappointing before having abortion,Sarcastic,Sarcastic
manager hates to see you go,Sarcastic,Sarcastic
is your outdated career map leading you astray?,Non-Sarcastic,Non-Sarcastic
senate unable to get enough republican votes to honor 'to kill a mockingbird',Sarcastic,Non-Sarcastic
it just got easier for detroit students to pay for college,Non-Sarcastic,Non-Sarcastic
exhausted studio has done all it can in terms of building excitement for 'the lincoln lawyer',Sarcastic,Sarcastic
black parkland students want peers to 'share the mic',Non-Sarcastic,Non-Sarcastic
broke dad makes son playstation 2 for christmas,Sarcastic,Sarcastic
stack of unused cd-rs turns five,Sarcastic,Sarcastic
archaeologists unearth earliest known shithole located super far from everywhere,Sarcastic,Sarcastic
"driverless cars: hype, hubris and distractions",Non-Sarcastic,Non-Sarcastic
ant born,Sarcastic,Sarcastic
anthropologists unearth possible missing link between a- and b-list celebrities,Sarcastic,Sarcastic
gondolier ordered to follow that gondola,Sarcastic,Sarcastic
"in sad, sad press conference, milo says 'free speech week' is now just one measly rally",Non-Sarcastic,Sarcastic
"the witching hour, revisited",Non-Sarcastic,Non-Sarcastic
neurologists find brain still shows signs of self-criticism minutes after death,Sarcastic,Sarcastic
cosby lawyer asks why accusers didn't come forward to be smeared by legal team years ago,Sarcastic,Sarcastic
woman sets google alert for kevin costner,Sarcastic,Sarcastic
strip poker ends solemnly with scar explanation,Sarcastic,Sarcastic
gym teacher still remembers names of every former pantywaist,Sarcastic,Sarcastic
"russian plane broke up at high altitude, official says",Non-Sarcastic,Non-Sarcastic
kosovo protesters set fire to government hq,Non-Sarcastic,Non-Sarcastic
watch this angry cat knock the stuffing out of a toy tiger,Non-Sarcastic,Non-Sarcastic
how do i live knowing proof of heaven?,Non-Sarcastic,Non-Sarcastic
"scalia recuses self from capital murder case, citing double homicide he committed in '80s",Sarcastic,Sarcastic
why i'm building my political wardrobe,Non-Sarcastic,Non-Sarcastic
when it's worthwhile to pay extra airline fees,Non-Sarcastic,Non-Sarcastic
man filming childbirth picks up some b-roll of wife's vagina while waiting for baby to crown,Sarcastic,Sarcastic
study finds goosebumps caused by psychotic weirdo masturbating to old photo of you,Sarcastic,Sarcastic
newt gingrich defends donald trump by accusing megyn kelly of being obsessed with sex,Non-Sarcastic,Non-Sarcastic
what to know regarding current treatments for ebola,Non-Sarcastic,Non-Sarcastic
the smithereens lead singer pat dinizio dead at 62,Non-Sarcastic,Non-Sarcastic
trevor noah exposes vladimir putin's sinister actions towards u.s. diplomats,Non-Sarcastic,Non-Sarcastic
11 great things about preschoolers,Non-Sarcastic,Non-Sarcastic
area stadium inadequate,Sarcastic,Sarcastic
jennifer lopez's new video is a sad premonition of the future of feminism,Non-Sarcastic,Non-Sarcastic
prepare to be hypnotized by these cute puppies eating their dinner,Non-Sarcastic,Non-Sarcastic
authority figure demands to know meaning of this,Sarcastic,Sarcastic
this may be the most unusual george michael tribute you'll ever see,Non-Sarcastic,Non-Sarcastic
floor pizza and the new mediocrity,Non-Sarcastic,Sarcastic
aretha franklin demands f-u-d-g-e,Sarcastic,Sarcastic
study: 90% of all meowing comes from owners trying to get cats to meow back,Sarcastic,Sarcastic
political pundits surprisingly good at getting inside mentally unbalanced shooter's head,Sarcastic,Sarcastic
trump gives muslim on fence about radicalizing just the push he needed,Sarcastic,Sarcastic
study finds majority of urban households located in roller rink deserts,Sarcastic,Sarcastic
have obama's education policies weakened the democratic party?,Non-Sarcastic,Non-Sarcastic
judge seeks criminal contempt charges against arizona sheriff joe arpaio,Non-Sarcastic,Non-Sarcastic
resourceful man able to cobble together bad mood from handful of minor annoyances,Sarcastic,Sarcastic
12 shirtless firemen save woman from year of loneliness,Sarcastic,Sarcastic
"gene wilder to make horrible, horrible movie",Sarcastic,Sarcastic
gop leaders confident they'll have cruelty necessary to pass healthcare bill,Sarcastic,Sarcastic
"'nothing is more attractive than confidence,' says woman who has apparently never seen sonic the hedgehog cosplay",Sarcastic,Sarcastic
jam session interview: caroline dowd-higgins,Non-Sarcastic,Non-Sarcastic
how is legoland becoming florida's new must-see attraction? one brick at a time,Non-Sarcastic,Non-Sarcastic
merv griffin leaves lifetime supply of jiffy pop to charity,Sarcastic,Sarcastic
"middle-aged woman believes in fourth marriage, angels",Sarcastic,Sarcastic
nutella briefly entertained as lubricant,Sarcastic,Sarcastic
friday talking points -- mcconnell for sale!,Non-Sarcastic,Non-Sarcastic
comedian breaks down the hilarious struggles of a latino thanksgiving,Non-Sarcastic,Non-Sarcastic
mom shows there's no one way to feed a baby with gorgeous photo,Non-Sarcastic,Non-Sarcastic
toll-booth girl hit on quickly,Sarcastic,Sarcastic
why kellyanne conway doesn't get a break on her bowling green massacre lie,Non-Sarcastic,Non-Sarcastic
hometown wistfully toured via google street view,Sarcastic,Sarcastic
trump praises saddam hussein again — this time for killing terrorists 'so good',Non-Sarcastic,Non-Sarcastic
bernie sanders: sheriff joe arpaio 'ambushed' my wife,Non-Sarcastic,Non-Sarcastic
"ten years later, it's still gut-wrenching to look back at katrina footage",Non-Sarcastic,Non-Sarcastic
native american boy pulled from class over mohawk hairstyle,Non-Sarcastic,Non-Sarcastic
when being beautiful might count against you,Non-Sarcastic,Non-Sarcastic
soulless man has cordless phone,Sarcastic,Sarcastic
"in boston, student mbta passes are an equity issue",Non-Sarcastic,Non-Sarcastic
best of abu dhabi: aditya vikram sengupta's labour of love,Non-Sarcastic,Non-Sarcastic
a look at brooke shields' life and career as the star turns 50,Non-Sarcastic,Non-Sarcastic
"transgender heroes, yes!",Non-Sarcastic,Non-Sarcastic
the resistance gave birth to a girl and her name is hannah risheq,Non-Sarcastic,Non-Sarcastic
supreme court votes 7-2 to legalize all worldly vices,Sarcastic,Sarcastic
"attractive woman, wealthy man somehow making it work",Sarcastic,Sarcastic
"amazon warehouses stocked with 20,000 doctors in preparation for healthcare launch",Sarcastic,Sarcastic
friend who listened to podcast on watergate bursts into conversation with guns fucking blazing,Sarcastic,Sarcastic
"happy valentine's day, weirdo!",Non-Sarcastic,Sarcastic
the secrets behind the alvin ailey american dance theater,Non-Sarcastic,Non-Sarcastic
microsoft and amazon have a plan for driverless cars,Non-Sarcastic,Non-Sarcastic
report: most small businesses fail in first 6 hours of being on fire,Sarcastic,Sarcastic
8-year-old obviously packed own lunch,Sarcastic,Sarcastic
sears and kmart drop 31 trump home items from their online shops,Non-Sarcastic,Non-Sarcastic
huffpost rise: what you need to know on february 10,Non-Sarcastic,Non-Sarcastic
gisele bündchen makes history with a makeup-free vogue italia cover,Non-Sarcastic,Non-Sarcastic
puppy dies adorable death,Sarcastic,Sarcastic
yoga teacher has way too much on plate to fuck any more students right now,Sarcastic,Sarcastic
stop judging other moms,Non-Sarcastic,Non-Sarcastic
here's some ways to get teachers to support lgbt students,Non-Sarcastic,Non-Sarcastic
don cheadle claims trump once used racial slur in reference to black women,Non-Sarcastic,Non-Sarcastic
teen admits parents were right about fred durst,Sarcastic,Sarcastic
democrats play nice and normal with trump in nominee hearings,Non-Sarcastic,Non-Sarcastic
"one of the biggest mistakes a manager can make, according to linkedin's ceo",Non-Sarcastic,Non-Sarcastic
cast of 60 minutes suffers collective stroke,Sarcastic,Sarcastic
man with dream to open liquor store achieves dream,Sarcastic,Sarcastic
semester at sea students steal anchor for dorm room,Sarcastic,Sarcastic
variety magazine goes to bat for hillary clinton in first-ever presidential endorsement,Non-Sarcastic,Non-Sarcastic
have we already solved the student debt crisis?,Non-Sarcastic,Non-Sarcastic
unlocking big data's value potential through design with small data,Non-Sarcastic,Non-Sarcastic
woman on tv engulfed in animated credit-card bills,Sarcastic,Sarcastic
steve kerr gave an impassioned plea for gun control that everyone should hear,Non-Sarcastic,Non-Sarcastic
russian medallist at winter olympics suspected of doping violation: report,Non-Sarcastic,Non-Sarcastic
stylin' with pete king or how to dress for a world in crisis,Non-Sarcastic,Sarcastic
"lives of mitch mcconnell, john boehner, eric cantor retain meaning",Sarcastic,Sarcastic
small-town residents come together for arby's raising,Sarcastic,Sarcastic
you can now buy 'icky trump' t-shirts thanks to the white stripes,Non-Sarcastic,Non-Sarcastic
bank robbers fail to consider o'reilly factor,Sarcastic,Sarcastic
"under trump, muslim book publishers are fighting against hate",Non-Sarcastic,Non-Sarcastic
why hillary clinton is moving left on every issue except israel - opinion,Non-Sarcastic,Non-Sarcastic
kidnapped hilton sisters appalled by captor's basement,Sarcastic,Sarcastic
panicked biden interrupts state of the union to ask if erections can ever be medical emergency,Sarcastic,Sarcastic
california lawmakers want uc davis chancellor to resign,Non-Sarcastic,Non-Sarcastic
mysterious light seen near huge black hole,Non-Sarcastic,Non-Sarcastic
helpful museum map highlights exhibits visitors don't have to feel too bad about skipping,Sarcastic,Sarcastic
best buy employee wearing different colored shirt for some reason,Sarcastic,Sarcastic
controversial study links e-cigarettes to formaldehyde exposure,Non-Sarcastic,Non-Sarcastic
don't spend a cent on bitcoin until you see john oliver's cryptocurrency warning,Non-Sarcastic,Non-Sarcastic
kids getting a little old to still believe in innate charitable goodness of humans,Sarcastic,Sarcastic
federal law enforcement officials unveil new food-crime equivalency ratings,Sarcastic,Sarcastic
congressman lets his guitar do the talking,Sarcastic,Sarcastic
she dreamed of africa -- and then she was sent there,Non-Sarcastic,Non-Sarcastic
video proves there are no 'routine' traffic stops for black people,Non-Sarcastic,Non-Sarcastic
tom daley and dustin lance black expecting first child together,Non-Sarcastic,Non-Sarcastic
twentysomething generation turns 35,Sarcastic,Sarcastic
black man in support of confederate flag triples his media appearance rates,Sarcastic,Sarcastic
unnamed new gas station struggling to find 'stop 'n go' variant,Sarcastic,Sarcastic
how current eating disorder discourse fails the lgbtq community. and how we can change that.,Non-Sarcastic,Non-Sarcastic
report: you live in an embarrassing country,Sarcastic,Sarcastic
washington d.c. officer shoots woman carrying knife,Non-Sarcastic,Non-Sarcastic
stephen colbert happily takes trump's challenge to 'say it to my face',Non-Sarcastic,Non-Sarcastic
roy moore under fire for new 'children are my future' ad campaign,Sarcastic,Sarcastic
department of education study finds only 30% of students adequately prepared for spring musical,Sarcastic,Sarcastic
'game of thrones' running out of unkempt old men to cast,Sarcastic,Sarcastic
pharmaceutical industry profiting from a solution to a problem they helped create,Non-Sarcastic,Non-Sarcastic
jesus was a socialist,Non-Sarcastic,Non-Sarcastic
"area woman not a morning, afternoon, or night person",Sarcastic,Sarcastic
carly rae jepsen redid the 'full house' theme song for netflix reboot,Non-Sarcastic,Non-Sarcastic
"trump: 'i know that was pretty bad, but let's just say you're going to want to save your energy'",Sarcastic,Sarcastic
roller coaster designer's artistic vision sullied by fantastic four tie-in,Sarcastic,Sarcastic
fire department deploys unmarked trucks,Sarcastic,Sarcastic
fork manufacturer introduces fifth tine to accommodate growing american mouthfuls,Sarcastic,Sarcastic
things fall together,Non-Sarcastic,Non-Sarcastic
child therapist excited to actually be seeing patient with psychological issues,Sarcastic,Sarcastic
tonight's dnc program to be just 3 hours of osama bin laden's blown-off face projected onto screen,Sarcastic,Sarcastic
"edison electric institute's anti-solar, pr spending revealed",Non-Sarcastic,Non-Sarcastic
kathryn bigelow - first woman to win oscar for best directress,Sarcastic,Non-Sarcastic
"seemingly shy woman really just stuck-up, friends say",Sarcastic,Sarcastic
urban polling stations urge voters to immediately get back in line for general election,Sarcastic,Sarcastic
it takes about 20 celebrities to explain why 62 million girls are being dumbed down,Non-Sarcastic,Sarcastic
rep calls for more than 'moment of silence' in congress for charleston,Non-Sarcastic,Non-Sarcastic
"'people are inherently good,' world halfheartedly mutters",Sarcastic,Sarcastic
bet you didn't know gal gadot is pronounced with a hard 't',Non-Sarcastic,Non-Sarcastic
hilarious video shows 'how to bake easter cookies like a toddler',Non-Sarcastic,Non-Sarcastic
"the truth about politics: mo' money, mo' problems",Non-Sarcastic,Non-Sarcastic
5 things not to say to a transgender person (and 3 things you should),Non-Sarcastic,Non-Sarcastic
local sea cow tired of all the lies,Sarcastic,Sarcastic
everybody from 'the hills' is having kids now,Non-Sarcastic,Non-Sarcastic
white house increases security after man shows up at oval office looking for obama,Sarcastic,Sarcastic
teacher just hopes they never google him,Sarcastic,Sarcastic
mexican man says 19-inch penis is destroying his life,Non-Sarcastic,Non-Sarcastic
english teacher obviously hung over,Sarcastic,Sarcastic
christian weightlifter bends iron bar to show power of god's love,Sarcastic,Sarcastic
troy aikman: i 'knock on wood' hoping i stay healthy after concussions,Non-Sarcastic,Non-Sarcastic
trump's fec pick worries watchdogs,Non-Sarcastic,Non-Sarcastic
stunned family watches as grandmother wolfs down sandwich in 33 minutes,Sarcastic,Sarcastic
cubs fans caught in time loop now that 'next year' is in the past,Non-Sarcastic,Sarcastic
this texas city has unsafe water for the 4th time in 2 years,Non-Sarcastic,Non-Sarcastic
meghan markle confirms her dad won't attend the royal wedding,Non-Sarcastic,Non-Sarcastic
american airlines admirals club installs two-way mirror for members to enjoy misery of passengers in gate waiting area,Sarcastic,Sarcastic
report: nation's concept of breakfast rapidly deteriorating,Sarcastic,Sarcastic
report: all the other races coming to take your stuff,Sarcastic,Sarcastic
top of mt. everest pulling away majority of hollywood films with generous tax credit program,Sarcastic,Sarcastic
the oil lobby has a pretty predictable response to obama's oil tax proposal,Non-Sarcastic,Non-Sarcastic
comedy cellar holds night for male comedians to workshop sexual harassment apologies,Sarcastic,Sarcastic
date invites woman upstairs to check out red flags,Sarcastic,Sarcastic
sad man tears 2 bananas off larger bunch,Sarcastic,Sarcastic
doctors in puerto rico face mounting medical crisis in maria's wake,Non-Sarcastic,Non-Sarcastic
fabled burger king employee places single onion ring in everyone's fries,Sarcastic,Sarcastic
archangels already sick of cardinal o'connor telling them how they do it in new york,Sarcastic,Sarcastic
"watching tv shows on dvd the way to do it, area man reports",Sarcastic,Sarcastic
5 resistance resolutions,Non-Sarcastic,Non-Sarcastic
activity made up to sell athletic shoes,Sarcastic,Sarcastic
sunday show hosts hit back on trump administration's lies,Non-Sarcastic,Non-Sarcastic
miracle overpass issues mysterious stream of urine,Sarcastic,Sarcastic
inconsiderate woman on bus eating live tuna,Sarcastic,Sarcastic
tiny horse lives large with labrador pal,Non-Sarcastic,Non-Sarcastic
picture most closely resembling actual self immediately deleted,Sarcastic,Sarcastic
suicide bombing near afghan parliament kills more than 30,Non-Sarcastic,Non-Sarcastic
report: 23% of population just sort of like that,Sarcastic,Sarcastic
science-fiction novel posits future where characters are hastily sketched,Sarcastic,Sarcastic
is it time to level the playing field for college athletes?,Non-Sarcastic,Non-Sarcastic
james holmes shows up to court wearing glasses with eyeballs dangling out on springs,Sarcastic,Sarcastic
all of math teacher's examples involve moon pies,Sarcastic,Sarcastic
donald trump asks why the civil war couldn't have been 'worked out',Non-Sarcastic,Non-Sarcastic
federal reserve vice-chairman roger ferguson: hot or not?,Sarcastic,Sarcastic
new harry potter film turns children on to magic of not reading,Sarcastic,Sarcastic
drew brees' foot injury didn't happen overnight,Non-Sarcastic,Non-Sarcastic
what i wish for my daughter,Non-Sarcastic,Non-Sarcastic
"l.a. fitness announces plan to close all locations for 30-minute, high-intensity diversity training",Sarcastic,Sarcastic
rain told to go away in 1986 returns,Sarcastic,Sarcastic
state department has spent none of the $120 million allocated to fight russian interference,Non-Sarcastic,Non-Sarcastic
harry reid: republicans are 'acting as puppets for the nra',Non-Sarcastic,Non-Sarcastic
queen elizabeth ii's christmas message: 'light shines in the darkness',Non-Sarcastic,Non-Sarcastic
how much will black lives matter in trump's america?,Non-Sarcastic,Non-Sarcastic
"hannity claims relationship with cohen never went past payment for legal advice, defense strategy in criminal cases",Sarcastic,Non-Sarcastic
report: america still world leader in manufacturing excuses,Sarcastic,Sarcastic
employee wishes he had enough job security to voice opinion,Sarcastic,Sarcastic
health scare prompts man to start overeating healthier,Sarcastic,Sarcastic
what comics can offer to bible readers,Non-Sarcastic,Non-Sarcastic
libertarian reluctantly calls fire department,Sarcastic,Sarcastic
decades of blasts in middle east beginning to expose earth's mantle,Sarcastic,Sarcastic
"the feds are going to collect better data on police killings, but we probably won't see it",Non-Sarcastic,Non-Sarcastic
the sanders phenomenon,Non-Sarcastic,Non-Sarcastic
study: home rotisseries only american technological field still advancing,Sarcastic,Sarcastic
fox news meteorologist slams woman who said her legs are 'too fat',Non-Sarcastic,Non-Sarcastic
"for novelists, success is not monetary",Non-Sarcastic,Non-Sarcastic
no way old man in park not thinking about dead wife,Sarcastic,Sarcastic
the intrinsic value of liberal education,Non-Sarcastic,Non-Sarcastic
america ferrera posts tearful message on post-election grief,Non-Sarcastic,Non-Sarcastic
apple submits brief opposing u.s. government's 'unprecedented' iphone request,Non-Sarcastic,Non-Sarcastic
ferguson protesters guard stores from looters,Non-Sarcastic,Non-Sarcastic
donald trump says some protesters probably deserved to get roughed up at his rallies,Non-Sarcastic,Non-Sarcastic
mike pence condemns female senators for wantonly sharing senate floor with male colleagues after dark,Sarcastic,Sarcastic
jared kushner excited to finally visit white house after gaining security clearance,Sarcastic,Non-Sarcastic
trump administration proposes massive expansion of offshore drilling,Non-Sarcastic,Non-Sarcastic
david beckham stared down a studio camera: here's what we know,Non-Sarcastic,Non-Sarcastic
arizona high schools to now teach spanish entirely in english,Sarcastic,Sarcastic
old el paso introduces emergency taco kit,Sarcastic,Sarcastic
"child entertained for 5 minutes by plastic toy that will take 1,000 years to biodegrade",Sarcastic,Sarcastic
"townsperson in online rpg universe figures shield, gold pieces should be safe in barrel",Sarcastic,Sarcastic
"do you know why i'm pulling you over, being wildly aggressive, and charging you with assault today, sir?",Non-Sarcastic,Sarcastic
"in the face of systemic racism, south asians must not keep silent",Non-Sarcastic,Non-Sarcastic
the security council's israeli settlement resolution: seven observations,Non-Sarcastic,Non-Sarcastic
ferguson protesters chain mall doors shut in seattle: cops,Non-Sarcastic,Non-Sarcastic
ryan handed romney's latest political positions before walking on stage,Sarcastic,Sarcastic
woman unaware she's only person on acid at james taylor concert,Sarcastic,Sarcastic
"in a devastated puerto rican landscape, getting by on tenacity, patience and the kindness of neighbors",Non-Sarcastic,Non-Sarcastic
pope francis thinks you spend too much time on facebook,Non-Sarcastic,Non-Sarcastic
obama to take break from stumping to preside over united states,Sarcastic,Sarcastic
yo voté: communities scramble to translate ballots,Non-Sarcastic,Non-Sarcastic
street photography in stockholm (pt. 2),Non-Sarcastic,Non-Sarcastic
ups reports troubling drop in residents answering doors in lingerie,Sarcastic,Sarcastic
suit up: 3 ways to tell if your suit fits,Non-Sarcastic,Non-Sarcastic
bush celebrates millionth utterance of 'lessons of sept. 11',Sarcastic,Sarcastic
top 10 reasons i'm glad i grew up without facebook,Non-Sarcastic,Non-Sarcastic
this type of breast cancer is more deadly for black women,Non-Sarcastic,Non-Sarcastic
five more inmates in california diagnosed with legionnaires' disease,Non-Sarcastic,Non-Sarcastic
man somehow thinks he doesn't have enough alone time,Sarcastic,Sarcastic
first gay couple receives marriage license at jailed kentucky clerk's office,Non-Sarcastic,Non-Sarcastic
"yes, donald trump is actually going on 'saturday night live' tonight",Non-Sarcastic,Non-Sarcastic
target 'dorm room essentials' aisle being browsed exclusively by 30-year-old men with studio apartments,Sarcastic,Sarcastic
restaurants open on thanksgiving 2014,Non-Sarcastic,Non-Sarcastic
chipper coworker must have eaten breakfast like some big shot,Sarcastic,Sarcastic
why an 83-year-old woman walked into a police station looking for a hug,Non-Sarcastic,Non-Sarcastic
horrifying society of grotesque mutants discovered living aboveground,Sarcastic,Sarcastic
"time's up, men: more than 300 women file for house races",Non-Sarcastic,Non-Sarcastic
fbi might withhold secret method of unlocking iphone from apple,Non-Sarcastic,Non-Sarcastic
how to overcome the stress of long distance relationships,Non-Sarcastic,Non-Sarcastic
facebook to block private gun sales,Non-Sarcastic,Non-Sarcastic
first-generation american's job taken by his father,Sarcastic,Sarcastic
mgm releases gala sixth-anniversary edition of son-in-law,Sarcastic,Sarcastic
gingrich privately regretting not doing 'more jew stuff' on florida campaign trail,Sarcastic,Sarcastic
boehner resignation leaves massive leadership vacuum in congress intact,Sarcastic,Sarcastic
excercise ball all the way over there,Sarcastic,Sarcastic
"chromat features not 1, but 2 plus-size models on its runway",Non-Sarcastic,Non-Sarcastic
facebook built censorship tool to appease china expansion,Non-Sarcastic,Non-Sarcastic
here's all the expensive nonsense trump's epa chief is wasting your taxes on,Non-Sarcastic,Non-Sarcastic
sighing trump sexual assault accusers announce they'll try coming forward again next week,Sarcastic,Sarcastic
travelling through the feminine mystique to lesbian feminism,Non-Sarcastic,Non-Sarcastic
justin timberlake already beneath u.s. bank stadium waiting for super bowl halftime show to start,Sarcastic,Sarcastic
"for north carolina attorney general, running for governor will mean taking on his top client",Non-Sarcastic,Non-Sarcastic
nfl player avery williamson wears 9/11 cleats despite threat of fine,Non-Sarcastic,Non-Sarcastic
5 netflix things to watch if you can't wait for the royal wedding,Non-Sarcastic,Non-Sarcastic
beautiful pregnancy time-lapse shows new mom and new nursery transform,Non-Sarcastic,Non-Sarcastic
"heroin deaths are surging, but deadliest drugs still come in pill bottles",Non-Sarcastic,Non-Sarcastic
ko'd martial artist is epitome of show-must-go-on in 'got talent',Non-Sarcastic,Non-Sarcastic
'take your kid to work day' results in npr newscast shutting down for full minute,Non-Sarcastic,Sarcastic
'grey's anatomy' star caterina scorsone accuses james toback of sexual harassment,Non-Sarcastic,Non-Sarcastic
good news for officer shot in face during stop,Non-Sarcastic,Non-Sarcastic
charleston church holds first service since shootings,Non-Sarcastic,Non-Sarcastic
five reasons to love fashion designer bibhu mohapatra,Non-Sarcastic,Non-Sarcastic
"sauce-spatter analysis allows investigators to reconstruct horrific, grisly consumption of meatball sub",Sarcastic,Sarcastic
jon bon jovi jealous of former classmate who made it out of jersey,Sarcastic,Sarcastic
love: solange covers lucky mag,Non-Sarcastic,Non-Sarcastic
morbidly obese pumpkin wins contest,Sarcastic,Sarcastic
man's eyes glaze over whenever politician starts threatening to plunge him into serf-like subjugation,Sarcastic,Sarcastic
report: middle class running dangerously low on things to be squeezed out of,Sarcastic,Sarcastic
a new lena dunham show is coming to hbo,Non-Sarcastic,Non-Sarcastic
fox news anchor stands up for cnn and defines 'fake news',Non-Sarcastic,Non-Sarcastic
donald trump casts doubt on russian election interference ahead of vladimir putin meeting,Non-Sarcastic,Non-Sarcastic
message under juice cap totally applies to area woman,Sarcastic,Sarcastic
crossfit mama gets real about why her post-baby body is 'amazing',Non-Sarcastic,Non-Sarcastic
kylie jenner snaps a bikini selfie,Non-Sarcastic,Non-Sarcastic
man wearing low-cut swimsuit as though public pool a sun-kissed sardinian cove,Sarcastic,Sarcastic
tomi lahren's show reportedly suspended from theblaze after pro-choice remarks,Non-Sarcastic,Non-Sarcastic
mannequins seem really in love,Sarcastic,Sarcastic
early-morning jogger pities everyone still sleeping,Sarcastic,Sarcastic
israeli government found to be in league with jewry,Sarcastic,Sarcastic
roommate skulking around edge of party like victorian ghost child,Sarcastic,Sarcastic
"once the capital of nostalgia, istanbul is now the capital of anxiety and neurosis",Non-Sarcastic,Non-Sarcastic
7 facts school leaders want you to know about kids in new orleans,Non-Sarcastic,Non-Sarcastic
man planning to rub up against strangers wondering where train is already,Sarcastic,Sarcastic
obama: iraq airstrikes not slippery slope to other humanitarian interventions,Sarcastic,Non-Sarcastic
the incredible story of how america saved a national treasure from extinction,Non-Sarcastic,Non-Sarcastic
stop referring to fathers as babysitters,Non-Sarcastic,Non-Sarcastic
restaurateur david chang is launching a new culture-focused media company,Non-Sarcastic,Non-Sarcastic
cheerleader given a 'd',Sarcastic,Sarcastic
policewoman flashed more than her badge at cop conference: report,Non-Sarcastic,Non-Sarcastic
6 tips for coping with a debilitating disease,Non-Sarcastic,Non-Sarcastic
bush's 'electability' argument is getting even weaker,Non-Sarcastic,Non-Sarcastic
"'wow, no one saw this coming' nation groans as norway's 'kon-tiki' nabs best foreign picture nomination",Sarcastic,Sarcastic
fourth-grade teacher polishing up speech on this not being third grade anymore,Sarcastic,Sarcastic
bill maher says fox news is reason america is so polarized,Non-Sarcastic,Non-Sarcastic
"cruz hits back at 'cronyist, washington cartel' iowa governor",Non-Sarcastic,Non-Sarcastic
dodgers co-owner magic johnson goes bonkers watching team romp to world series,Non-Sarcastic,Non-Sarcastic
end gun violence by repealing not enacting legislation,Non-Sarcastic,Non-Sarcastic
will conservatives learn anything about the need for regulations from london fire that killed dozens?,Non-Sarcastic,Non-Sarcastic
hire of local moron gives nation hope for employment,Sarcastic,Sarcastic
jeremy lin makes it a gold christmas for lakers,Non-Sarcastic,Non-Sarcastic
photographer assumes endless identities in her mother's clothes,Non-Sarcastic,Non-Sarcastic
déjà vu?,Non-Sarcastic,Non-Sarcastic
study: not being an asshole boss may boost employee morale,Sarcastic,Sarcastic
"'at least days getting longer,' squeaks tiny inner voice drowned out by rest of worries",Sarcastic,Sarcastic
i won't be coming home for christmas: the christmas experience in prison,Non-Sarcastic,Non-Sarcastic
remembering jim brady,Non-Sarcastic,Non-Sarcastic
wildlife cleaning volunteer stuck with the gulls again,Sarcastic,Sarcastic
credit-card metallurgists unveil new 'polonium plus' visa card,Sarcastic,Sarcastic
"the 2018 winter olympics in pyeongchang, by the numbers",Non-Sarcastic,Non-Sarcastic
nation confident team usa can participate in world cup,Sarcastic,Sarcastic
"dear rolling stone, not all canadians are in love with justin trudeau",Non-Sarcastic,Non-Sarcastic
the techno-colonialism of facebook and cambridge analytica,Non-Sarcastic,Non-Sarcastic
affordable fast food that's good for you? what a concept,Non-Sarcastic,Non-Sarcastic
chipotle ceo predicts the demise of 'irrelevant' fast food chains,Non-Sarcastic,Non-Sarcastic
charleston post and courier honors shooting victims with moving cover,Non-Sarcastic,Non-Sarcastic
why you need to brag more and 3 ways to do it,Non-Sarcastic,Non-Sarcastic
aspiring legislator keeps sending unsolicited bills to house of representatives,Sarcastic,Sarcastic
