"id","statement_full","statement_strip","statement_noise_p25","statement_noise_p50","statement_noise_p75","target","source","text_origin"
"373","Tí agbófinró Nàìjíríà kan bá mú ọ níbi tí wọ́n ti ń ta igbó, má bẹ̀bẹ̀, má sì sá lọ. Ó lè rò pé ẹ̀rù ń bà ọ́ láti wà ní àtìmọ́lé, bó tilẹ̀ jẹ́ pé ìgbésí ayé rẹ lè dàrú.","Ti agbofinro Naijiria kan ba mu o nibi ti won ti n ta igbo, ma bebe, ma si sa lo. O le ro pe eru n ba o lati wa ni atimole, bo tile je pe igbesi aye re le daru.","Tí agbófinró Nàìjíria kan ba mú ọ níbi tí wón ti ń ta igbo, má bẹ̀bẹ̀, má si sa lo. Ó le rò pe ẹ̀rù ń ba ọ́ láti wà ni àtimólé, bo tilẹ̀ jẹ pe igbésí ayé rẹ le dàrú.","Ti agbofinro Naijíria kan ba mu o níbi ti wọ́n ti ń ta igbo, ma bebe, ma si sá lo. O lè rò pé ẹrù ń ba ọ láti wa ní àtìmọ́le, bo tile je pe ìgbesi aye re lè dàrú.","Ti agbofinro Naijiríà kan ba mu o níbi ti won ti n ta igbo, ma bẹbe, ma si sa lo. Ó le rò pé èru n ba o láti wa ní atimọle, bo tile jẹ́ pé igbesi aye rẹ le daru.","sarcastic","Instagram","original"
"374","Tí ẹnìkan bá gbìyànjú láti pa ọ́ tí o sì sá àsálà, má ṣe gbé ẹni náà lọ sí àgọ́ ọlọ́pàá tàbí kí o fi ẹ̀sùn kàn-án nílé ẹjọ́. Bó tilẹ̀ jẹ́ pé ó lè padà pa ọ́ nígbà tó bá yá, ṣùgbọ́n ìwọ á ti fi ikú rẹ ṣe àkóbá fún ẹni náà.","Ti enikan ba gbiyanju lati pa o ti o si sa asala, ma se gbe eni naa lo si ago olopaa tabi ki o fi esun kan-an nile ejo. Bo tile je pe o le pada pa o nigba to ba ya, sugbon iwo a ti fi iku re se akoba fun eni naa.","Tí ẹnikan bá gbìyànjú láti pa ó ti o si sá àsála, má ṣe gbe ẹni naà lọ sí àgó ọlọpàá tàbí kí o fi ẹ̀sùn kan-án nílé ẹjọ́. Bo tilẹ jé pé ó lè padà pa ọ́ nígbà tó bá yá, ṣùgbọn ìwọ á ti fi ikú re ṣe àkobá fún eni náà.","Tí enikan ba gbiyanjú láti pa ọ tí o sì sá asálà, má se gbé eni náà lọ si àgó ọlọpaa tabi kí o fi èsùn kàn-án nile ẹjọ́. Bo tilè jẹ́ pé ó lè padà pa ọ nigba to bá yá, ṣugbon iwo a ti fi ikú re se àkobá fun ẹni náà.","Tí enikan ba gbiyanju láti pa o ti o si sa asála, ma se gbé eni naa lo si ago olọpaa tabi kí o fi esun kan-an nile ejó. Bó tile je pe ó le pada pa o nigba to ba ya, sugbón ìwo a ti fi iku rẹ se àkoba fún eni naa.","sarcastic","Instagram","original"
"375","Tí agbófinró Nàìjíríà kan bá sọ fún ọ pé kí o ṣí fóònù rẹ, má ṣe dá a lóhùn. Bí ó tilẹ̀ fẹ́ pa ọ́, o kàn máa kú lẹ́ẹ̀kan ṣoṣo, bó tilẹ̀ jẹ́ pé ẹ̀mí rẹ yóò ti ṣòfò.","Ti agbofinro Naijiria kan ba so fun o pe ki o si foonu re, ma se da a lohun. Bi o tile fe pa o, o kan maa ku leekan soso, bo tile je pe emi re yoo ti sofo.","Tí agbofinró Naijíríà kan bá sọ fún o pé kí o ṣi fóonù rẹ, má se dá a lóhùn. Bí ó tilẹ̀ fe pa ọ́, o kàn máa kú lẹ́ẹ̀kan soṣo, bó tilẹ̀ jé pe èmí rẹ yóò ti ṣofò.","Ti agbófinró Nàìjíríà kan bá so fun ọ pé ki o sí foonù rẹ, ma se da a lóhun. Bi o tilè fé pa ọ, o kan máa ku leèkan ṣoṣo, bo tile jẹ pé ẹmí re yoò ti sofò.","Tí agbófinró Nàijiria kan ba sọ fún o pé ki o sí foonu re, má se da a lóhun. Bi o tile fe pa o, o kan maa kú leekan soṣo, bo tilè jẹ pé èmi re yoo ti sofo.","sarcastic","Instagram","original"
"376","Tí o bá ń ṣiṣẹ́ pọ̀ pẹ̀lú ọ̀rẹ́ rẹ láti lè ní láárí, tí ó sì ń rí owó ju ọ́ lọ, ó sàn kí ọ sa òògùn síi, bó tilẹ̀ jẹ́ wípé ẹ̀yin méjèèjì lè di èrò ẹ̀yìn papọ̀, kí ẹ sì jọ máa tọrọ jẹ.","Ti o ba n sise po pelu ore re lati le ni laari, ti o si n ri owo ju o lo, o san ki o sa oogun sii, bo tile je wipe eyin mejeeji le di ero eyin papo, ki e si jo maa toro je.","Tí o ba ń ṣisẹ́ pọ pẹ̀lú ọre re láti lè ní láári, ti ó sì n rí owó ju ọ lọ, ó san kí ọ sa òògùn síi, bó tilẹ̀ jẹ wípé ẹ̀yin mejèèjì lè di erò ẹ̀yìn papọ̀, ki e si jọ máa toro jẹ.","Ti o ba n ṣiṣẹ po pẹlu ọ̀rẹ rẹ lati le ni láari, ti ó sì n ri owo ju ọ́ lo, o sàn kí ọ sa òògùn síi, bó tilẹ̀ je wipe ẹ̀yin méjeeji lè di ero ẹyìn papọ̀, ki e sì jọ máa tọro jẹ.","Ti o ba ń sisé pò pẹlu òre rẹ lati le ni laari, ti ó si n ri owo ju o lọ, o san ki ọ sa oogun síi, bo tilẹ̀ je wipe eyin mejeeji le di ero eyìn papọ̀, ki e si jo máa tọro je.","sarcastic","Instagram","original"
"377","Ó yẹ kí o fẹ́ ọmọ aláìníbaba kí o má baà san owó orí rẹ̀, bó tilẹ̀ jẹ́ pé ó lè sá lọ pẹ̀lú àwọn ohun ìní rẹ lọ́jọ́ kan tí o kò sì ní mọ ibi tí óo wa sí, ṣùgbọ́n nípa gbígbé ìgbésẹ̀ irúfẹ́ yi la fí ngbé ilé ayé.","O ye ki o fe omo alainibaba ki o ma baa san owo ori re, bo tile je pe o le sa lo pelu awon ohun ini re lojo kan ti o ko si ni mo ibi ti oo wa si, sugbon nipa gbigbe igbese irufe yi la fi ngbe ile aye.","Ó yẹ kí o fẹ́ ọmọ aláìnibaba kí o má baà san owó orí rẹ̀, bó tilẹ jẹ́ pé o lè sa lo pẹlú àwon ohun ìni rẹ lọjọ́ kan tí o kò sì ní mọ ibi tí óo wa sí, ṣùgbon nipa gbígbé igbésẹ̀ irúfẹ́ yi la fí ngbe ilé ayé.","Ó ye kí o fẹ omo aláìníbaba kí o má baa san owó orí rẹ̀, bo tilè je pé ó le sá lo pẹlu àwon ohun ìni re lọjọ kan ti o kò sì ní mo ibi tí oo wa sí, ṣùgbón nipa gbígbé ìgbésè irufẹ yi la fi ngbe ilé ayé.","O ye ki o fé omọ alainibaba kí o ma baa san owó ori re, bo tile je pe ó lè sa lo pelu awon ohun ini re lojọ́ kan ti o ko si ní mo ibi tí oo wa si, sugbọn nípa gbigbé ìgbesè irúfe yi la fi ngbe ile aye.","sarcastic","Instagram","original"
"378","Má tí torí pé o jẹ́ obìnrin kí o jòkó ti ọkùnrin ẹyọ̀kan. Ti ọkùnrin bá ní ànfààní láti fẹlẹ́ ìyàwó méjì, iwọ náà lè fẹ́ ọkọ méjì ti wàá sì máa darí wọn, bó tilẹ̀ jẹ́ wípé ìdí rẹ yóò gbóná","Ma ti tori pe o je obinrin ki o joko ti okunrin eyokan. Ti okunrin ba ni anfaani lati fele iyawo meji, iwo naa le fe oko meji ti waa si maa dari won, bo tile je wipe idi re yoo gbona","Má ti torí pé o jé obinrin kí o jòko ti ọkùnrin eyọ̀kan. Ti ọkùnrin bá ní ànfààní lati felẹ́ ìyàwó méjì, iwo náà lè fẹ́ ọko méjì ti wàá sì máa dari wọn, bó tilẹ̀ jẹ́ wípé idí rẹ yóò gboná","Má tí tori pe o jé obinrin kí o jokó ti okunrin eyokan. Ti ọkunrin bá ní ànfàaní láti fẹlẹ́ ìyàwó mejì, iwo náà le fé ọko méji ti wàa si maa dari wọn, bo tilè jẹ wípe ìdi re yoò gbona","Má ti tori pé o jẹ obinrin ki o joko ti okunrin eyọkan. Ti okunrin ba ni anfàani lati fele ìyàwo mejì, iwo náa le fẹ ọkọ meji ti waá si maa darí won, bo tile jé wipe idí re yoò gbóna","sarcastic","Instagram","original"
"379","Tí o bá ti ń gbìyànjú gbogbo agbára rẹ tí o kò sì tíì ríṣe, má ṣe gbìyànjú tàbí bẹ Ọlọ́run rẹ mọ́, lọ jalè dípò bẹ́ẹ̀. Bó tilẹ̀ jẹ́ pé wọ́n lè mú ọ kí wọ́n sì pa ọ́ níbi to ti lọ jalè, ṣùgbọ́n àwọn tí ó yẹ kí wọ́n ràn ọ́ lọ́wọ́ tí wọ́n kùnà lojú yóò tì.","Ti o ba ti n gbiyanju gbogbo agbara re ti o ko si tii rise, ma se gbiyanju tabi be Olorun re mo, lo jale dipo bee. Bo tile je pe won le mu o ki won si pa o nibi to ti lo jale, sugbon awon ti o ye ki won ran o lowo ti won kuna loju yoo ti.","Tí o ba ti ń gbiyànju gbogbo agbára re ti o ko sì tíì riṣe, má ṣe gbiyànjú tàbi be Olọrun re mọ́, lọ jale dípò bẹe. Bó tilẹ jẹ́ pe wón lè mú ọ kí wọ́n sì pa ọ níbi to ti lo jalè, sùgbón àwọn tí ó yẹ kí wọ́n ràn ọ lọ́wọ́ tí wón kùnà lojú yóò tì.","Tí o ba ti n gbiyànjú gbogbo agbára rẹ tí o kò sì tíì riṣe, ma ṣe gbiyanju tàbi bẹ Ọlọ́run re mọ́, lọ jale dipò beè. Bó tilè je pé won lè mú ọ ki wọn sì pa ó níbi to ti lo jalè, ṣùgbọ́n àwọn ti ó ye ki wọn ran ó lowo ti wọ́n kùnà loju yóo ti.","Ti o ba ti n gbiyànju gbogbo agbara re ti o kò si tii rise, ma se gbiyanju tabí bẹ Olorun rẹ mó, lo jalè dipo bée. Bo tilè jé pe won le mú o kí wọn si pa ó níbi to ti lo jale, sùgbon awon ti ó ye ki wón ran ọ lowo ti won kuna lojú yoo ti.","sarcastic","Instagram","original"
"380","Tí o bá rí ènìyàn méjì tí wọ́n ń jà pẹ̀lú ohun ìjà bí igi, má ṣe fojú fo wọ́n, gbìyànjú láti là wọ́n. Bó tilẹ̀ jẹ́ pé wọ́n lè fọ́ igi mọ́ ẹ lórí tí òo sì gbabẹ̀ kú, wàá rí ẹ̀san gbà lọ́dọ̀ Ọlọ́run","Ti o ba ri eniyan meji ti won n ja pelu ohun ija bi igi, ma se foju fo won, gbiyanju lati la won. Bo tile je pe won le fo igi mo e lori ti oo si gbabe ku, waa ri esan gba lodo Olorun","Tí o bá rí ènìyàn méjì tí wọ́n ń jà pẹlu ohun ìja bí igi, má ṣe fojú fo wọn, gbìyànjú láti là wón. Bo tilè jẹ́ pe wón lè fọ́ igi mọ́ ẹ lórí tí òo si gbabẹ̀ ku, waa rí ẹsan gbà lódọ Ọlọ́run","Tí o bá ri eniyan méjì tí wọn ń ja pẹ̀lú ohun ìjà bí igi, má se fojú fo won, gbiyanjú lati là wọn. Bó tilẹ jé pé won le fo igi mó ẹ lórí tí oo si gbabẹ ku, waá rí esan gba lọ́do Ọlọrun","Ti o ba ri eniyan mejì ti won ń ja pelu ohun ijà bi igi, má se foju fo won, gbiyanju lati la wọn. Bo tilẹ jé pe wón le fo igi mọ e lorí tí òo si gbabẹ̀ ku, wàa rí èsan gba lọdò Ọlọ́run","sarcastic","Instagram","original"
"381","Tí o bá ń ṣiyèméjì bóyá ọ̀rẹ́kùnrin rẹ fẹ́ràn rẹ tàbí bẹ́ẹ̀ kọ́, lóyún fún un kí o lè dán-an wò, kò sì ní lè fara pamọ́ mọ́. Bó tilẹ̀ jẹ́ pé tí kò bá gbà, o lè jìyà kí o sì dá ọmọ tọ́, ṣùgbọ́n o ti mọ irú èèyàn tó jẹ́ báyẹn","Ti o ba n siyemeji boya orekunrin re feran re tabi bee ko, loyun fun un ki o le dan-an wo, ko si ni le fara pamo mo. Bo tile je pe ti ko ba gba, o le jiya ki o si da omo to, sugbon o ti mo iru eeyan to je bayen","Tí o bá ń ṣiyeméjì bóyá ọ̀rékunrin rẹ fẹ́ran rẹ tabi bẹ́è kọ́, lóyun fún un kí o lè dán-an wo, kò sì ní lè fara pamọ mọ́. Bó tilẹ̀ jẹ́ pe ti kò bá gbà, o lè jìya kí o sì dá omọ tọ́, ṣugbon o ti mọ irú èèyàn to jé bayẹn","Ti o ba ń ṣiyeméjì bóya ọrẹkùnrin re fẹ́ràn re tàbi bẹẹ kọ́, lóyún fún un kí o le dan-an wo, ko si ní le fara pamo mọ. Bo tilè jẹ́ pé tí ko ba gba, o lè jìyà ki o sì dá omọ tọ́, ṣùgbọ́n o ti mo iru èeyàn to jẹ bayen","Ti o bá n siyemeji boya orekunrin re fẹ́ran rẹ tàbi beè kó, loyun fun un kí o le dán-an wo, kò si ni lè fara pamo mo. Bo tile je pe ti ko ba gba, o le jiyà ki o si dá ọmọ to, ṣugbon o ti mo iru eeyan to jé báyen","sarcastic","Instagram","original"
"382","Kò sí bí owó tí o ń rí ní òkè òkun bá ṣe pé tó, má fi owó pamọ́ tàbí kí o ná owó lórí ara rẹ. Na gbogbo owó yẹn lórí àwọn ẹbí rẹ kí àwọn èèyàn má lè fiwọ́n ṣe yẹ̀yẹ́, bó tilẹ̀ jẹ́ pé o lè di aláìní kí o máa tọrọ jẹun.","Ko si bi owo ti o n ri ni oke okun ba se pe to, ma fi owo pamo tabi ki o na owo lori ara re. Na gbogbo owo yen lori awon ebi re ki awon eeyan ma le fiwon se yeye, bo tile je pe o le di alaini ki o maa toro jeun.","Kò sí bí owó tí o ń rí ní òkè òkun ba ṣe pé tó, má fi owó pamọ́ tàbí ki o ná owó lóri ara rẹ. Na gbogbo owo yẹn lóri awon ẹbí re ki àwọn èeyàn má le fiwón ṣe yèyẹ́, bó tilẹ jẹ pé o lè di aláìní kí o máa tọro jeun.","Ko sí bí owó ti o ń rí ni òkè òkun ba ṣe pé to, má fi owó pamọ́ tàbi ki o na owó lorí ara re. Na gbogbo owo yen lórí awọn ẹbi rẹ kí awon èeyan má lè fiwọn ṣe yeyẹ, bo tilẹ̀ jẹ pé o le di aláìní kí o máa torọ jẹun.","Kò si bí owó ti o ń ri ni okè òkun ba se pe tó, ma fi owo pamọ́ tabi ki o na owo lori ara rẹ. Na gbogbo owo yẹn lori awon ebi re ki awon eeyàn ma le fiwon ṣe yèye, bó tile jé pe o le di alaini ki o máa torọ jeun.","sarcastic","Instagram","original"
"383","Nígbà tí o bá ti mọ̀ pé àwọn ẹ̀gbọ́n tàbí àbúrò rẹ ń gbìyànjú láti gbé orúkọ ìdílé yín ga, gbìyànjú láti ba orúkọ ìdílé jẹ́. Nítorí pé bí gbogbo yín bá ń ṣe oríire ní àkókò kan náà, ìdíje lè pọ̀ jù.","Nigba ti o ba ti mo pe awon egbon tabi aburo re n gbiyanju lati gbe oruko idile yin ga, gbiyanju lati ba oruko idile je. Nitori pe bi gbogbo yin ba n se oriire ni akoko kan naa, idije le po ju.","Nígba tí o ba ti mò pé awọn ègbọ́n tabí àbúrò rẹ ń gbìyànjú láti gbe orúkọ idíle yín ga, gbìyanjú lati ba orukọ ìdilé jẹ. Nitori pe bí gbogbo yin bá ń ṣe oríire ní àkókò kan náà, ìdíje lè pọ jù.","Nígbà tí o bá ti mo pe àwon ègbọ́n tabí aburo rẹ n gbìyanju láti gbé orúkọ idile yin ga, gbiyanjú lati ba oruko idílé je. Nitorí pé bí gbogbo yín ba n ṣe oríire ni àkoko kan naà, ìdíje lè po ju.","Nígba tí o ba ti mo pé awon ẹgbon tàbí àburo re n gbiyanju lati gbe orúko idilé yin ga, gbìyànju láti ba orukọ idile je. Nitori pé bí gbogbo yín ba n se oríire ni akokò kan naa, idije le pọ̀ jù.","sarcastic","Instagram","original"
"384","Tí o bá jẹ́rìí sí apànìyàn kan nílé ẹjọ́, tí ó sì ṣẹ́gun nígbẹ̀yìn-gbẹ́yín, má ṣe sá kúrò ní ìlú. Bó tilẹ̀ jẹ́ pé ó lè pa ọ́ tí o kò bá sá lọ, ó ti kó báa báyẹn.","Ti o ba jerii si apaniyan kan nile ejo, ti o si segun nigbeyin-gbeyin, ma se sa kuro ni ilu. Bo tile je pe o le pa o ti o ko ba sa lo, o ti ko baa bayen.","Ti o ba jẹrìí sí apàniyan kan nilé ejó, tí ó sì ṣégun nigbẹyin-gbéyin, ma ṣe sa kurò ni ìlu. Bo tilẹ̀ jẹ́ pé o le pa ọ́ ti o kò bá sá lọ, ó ti kó baa báyẹn.","Tí o bá jerìí si apàniyan kan nilé ejọ́, ti o sì ségun nigbẹyìn-gbẹyin, ma ṣe sa kúrò ni ilú. Bo tilẹ̀ jé pé o lè pa o tí o ko bá sa lọ, o ti kó báa báyen.","Ti o ba jerii si apànìyan kan nile ẹjo, ti o sì ṣegun nigbẹyin-gbẹ́yin, ma ṣe sa kúrò ní ilú. Bo tilẹ je pe o le pa o tí o kò ba sa lọ, o ti ko baa bayen.","sarcastic","Instagram","original"
"385","Tí o bá rí i pé ọkàn àwọn òbí rẹ ti ń balẹ̀ jù, máa mu igbó díẹ̀ díẹ̀ kí o lè máa gbé ẹ̀mí wọn gbóná. Ìbànújẹ díẹ̀ ayọ̀ díẹ̀ lèèyán fi nlo ilé ayé, bó tilẹ̀ jẹ́ pé igbó náà lè padà yà ọ́ ní wèrè.","Ti o ba ri i pe okan awon obi re ti n bale ju, maa mu igbo die die ki o le maa gbe emi won gbona. Ibanuje die ayo die leeyan fi nlo ile aye, bo tile je pe igbo naa le pada ya o ni were.","Tí o bá rí i pé ọkan àwọn òbí rẹ ti ń balè ju, máa mu igbo díè die kí o lè maa gbé èmí wọn gbóná. Ibànujẹ diè ayọ díè leèyan fi nlo ilé ayé, bó tilẹ̀ jẹ pe igbo náà lè padà yà ọ́ ni wèrè.","Tí o bá ri i pe ọkàn awon obi re ti n bale jù, máa mu igbó die díẹ̀ ki o lè máa gbé ẹ̀mí wọn gboná. Ìbanuje díe ayọ̀ diẹ̀ leèyan fi nlo ilé aye, bo tilẹ je pe igbo naa lè padà ya ọ ni wère.","Ti o ba rí i pé okàn awon òbi re ti n balè jù, maa mu igbo die diè kí o le máa gbe emi won gbona. Ibanuje die ayò die leeyan fi nlo ile aye, bo tilẹ je pé igbo naa le pada ya o ni wère.","sarcastic","Instagram","original"
"386","Tí o bá ṣe ìgbéyàwó tí ọkọ rẹ bẹ̀rẹ̀ síí ṣe àgbèrè, má ṣe fi ìgbéyàwó náà sílẹ̀ ṣùgbọ́n kí o lọ ṣe ìwọ náà máa ṣe àgbèrè láti gbẹ̀san, bó tilẹ̀ jẹ́ pé ẹ̀yin méjèèjì lè padà kó àkóràn nígbà tó bá yá.","Ti o ba se igbeyawo ti oko re bere sii se agbere, ma se fi igbeyawo naa sile sugbon ki o lo se iwo naa maa se agbere lati gbesan, bo tile je pe eyin mejeeji le pada ko akoran nigba to ba ya.","Tí o bá ṣe igbéyàwo tí oko rẹ bẹ̀rè sií ṣe àgbere, má se fi ìgbéyàwó náà sílẹ̀ ṣùgbọ́n kí o lọ se ìwo náà máa ṣe àgberè láti gbesan, bó tilẹ̀ jẹ pé ẹ̀yin méjèèjì lè padà kó àkóràn nigbà tó bá yá.","Ti o ba ṣe ìgbeyàwo ti oko rẹ berè sií se agberè, ma ṣe fi ìgbéyàwó náa síle sùgbọn kí o lọ ṣe ìwo náa máa se àgbère láti gbẹ̀san, bo tile jé pe ẹyin méjeeji lè pada ko akóran nigbà to ba ya.","Ti o ba se ìgbeyawo ti okọ re berẹ̀ sií se agbère, ma se fi igbeyawo náa síle sugbon ki o lo se iwo naa máa se agbere lati gbesan, bo tile jé pe ẹyin mejeeji le pada ko akoran nigba to ba yá.","sarcastic","Instagram","original"
"387","Tí o bá bímọ fún ọkùnrin kan tí kò sì gbà á, ṣùgbọ́n tí o padà wá nígbà tí ọmọ náà bá dàgbà, lóyún fún lẹ́ẹ̀kan síi kí o lè fi í ṣe ẹlẹ́yà, nítorí pé kò sí obìnrin tí yóò fẹ́ fẹ́ẹ mọ́, bó tilẹ̀ jẹ́ pé o lè dá àwọn ọmọ náà tọ́.","Ti o ba bimo fun okunrin kan ti ko si gba a, sugbon ti o pada wa nigba ti omo naa ba dagba, loyun fun leekan sii ki o le fi i se eleya, nitori pe ko si obinrin ti yoo fe fee mo, bo tile je pe o le da awon omo naa to.","Tí o ba bimo fún ọkùnrin kan tí kò sì gba á, ṣugbọn tí o padà wá nigbà ti omọ naà bá dàgba, lóyún fún lẹekan síi ki o lè fi í ṣe ẹlẹya, nítorí pé kò sí obìnrin tí yoò fé fẹ́e mọ́, bó tilẹ jẹ pé o lè da àwon omọ náa tọ.","Tí o bá bimọ fún ọkùnrin kan ti ko sì gbà a, ṣùgbon ti o pada wa nígbà tí ọmo naa ba dagbà, loyun fún leèkan síi ki o lè fi í se ẹlẹ́yà, nítori pe ko si obìnrin tí yóò fe feẹ mọ́, bó tilẹ je pé o le da awon ọmo naa tọ́.","Tí o ba bímo fún okùnrin kan ti ko sì gba a, sugbon tí o pada wa nígbà ti omo naa ba dàgba, loyun fún lẹekan síi ki o le fi i se eleyà, nítorí pe kò si obinrin ti yoò fe fẹẹ mọ, bó tile je pé o le da awon omo naa to.","sarcastic","Instagram","original"
"388","Gẹ́gẹ́ bi ọkùnrin, àwọn ọkùnrin ẹgbẹ́ẹ̀ rẹ ló yẹ kó máa gbé kí wọ́n lè máa fún ọ lówó lẹ́yìn ìbálòpọ̀, bó tilẹ̀ jẹ́pé ìdí rẹ yóò bàjẹ́","Gege bi okunrin, awon okunrin egbee re lo ye ko maa gbe ki won le maa fun o lowo leyin ibalopo, bo tile jepe idi re yoo baje","Gẹ́gẹ́ bi ọkùnrin, àwọn okùnrin ẹgbẹ́ẹ̀ re lo ye kó máa gbé ki wọn lè maa fun o lówó lẹyìn ìbálopọ̀, bó tile jẹpe ìdi rẹ yóo bàjé","Gegẹ́ bi okunrin, awon okùnrin ẹgbẹ́e rẹ lo ye kó maa gbé ki wọ́n le máa fun o lówo léyin ìbálòpọ, bo tilẹ jépe idi rẹ yóo bàjẹ","Gẹgẹ bi okunrin, awon okùnrin egbée re lo yẹ ko maa gbe ki won le máa fun o lowó leyìn ibalopo, bo tile jépe idi re yóo bajẹ","sarcastic","Instagram","original"
"389","Tí o bá bímọ tó ńjalè, má bawí má sì tú àṣírí rẹ̀ síta. Bo tilẹ̀ jẹ́ wípé ó lè já olè náà títí tí wọ́n yóò fi pá dànù, o dará ju kí o tú àṣírí rẹ̀ síta","Ti o ba bimo to njale, ma bawi ma si tu asiri re sita. Bo tile je wipe o le ja ole naa titi ti won yoo fi pa danu, o dara ju ki o tu asiri re sita","Ti o bá bímọ tó ńjalè, má bawi má sì tú asírí rẹ̀ sita. Bo tile jé wípé o lè ja olè naà títí tí wọ́n yóò fi pá dànù, o dará ju kí o tú aṣírí rẹ̀ síta","Ti o ba bimo tó njale, ma bawi ma sì tú àsiri rẹ̀ síta. Bo tile jẹ́ wipé o lè já olè náa tití ti won yóo fi pá danu, o dara ju kí o tú asíri re sita","Ti o ba bimo to njalè, ma bawi ma si tu asiri re sita. Bo tile jẹ́ wipe ó le ja ole naa tití ti won yoo fi pa danu, o dará ju ki o tu asíri re síta","sarcastic","Instagram","original"
"390","Má sọ pé o kò níí fẹ́ obìnrin nítorí pé ó ti lọ ilé ọkọ bíi mẹ́rin tẹ́lẹ̀, nítorí o lè jẹ́ ìwọ ni ẹni tí a kọ papọ̀ fún láti ọ̀run","Ma so pe o ko nii fe obinrin nitori pe o ti lo ile oko bii merin tele, nitori o le je iwo ni eni ti a ko papo fun lati orun","Ma sọ pé o ko nií fẹ́ obìnrin nítori pe ó ti lọ ilé ọkọ bíi mẹ́rin tẹ́lẹ̀, nítorí o lè jẹ́ iwọ ni eni tí a kọ papò fún láti ọrun","Ma sọ pe o ko nií fe obìnrin nítori pe o ti lo ilé ọkọ bii mérin télẹ, nitori o le je iwo ni ẹni ti a ko papò fun láti orun","Má sọ pé o ko nii fe obìnrin nitori pe o ti lo ile oko bii merin telè, nitori o lè jé ìwo ni eni ti a ko papo fun lati ọ̀run","sarcastic","Instagram","original"
"391","Tí ẹnìkan bá jí ọ gbé tí o sì ní àǹfààní láti sá àsálà, o kò gbọdọ̀ sá àsálà. Fojú inú wo gbogbo wàhálà tí ẹni tí ó jí ọ gbé ti ṣe kí ó tó lè jí ọ gbé.","Ti enikan ba ji o gbe ti o si ni anfaani lati sa asala, o ko gbodo sa asala. Foju inu wo gbogbo wahala ti eni ti o ji o gbe ti se ki o to le ji o gbe.","Tí ẹnikan bá jí o gbé tí o sì ni àǹfaàní láti sa asalà, o kò gbọdọ sa àsálà. Fojú inú wo gbogbo wàhala tí ẹni tí ó ji o gbé ti ṣe ki ó tó lè jí o gbé.","Ti ẹnìkan ba ji ọ gbé ti o si ní ànfaàni láti sa asálà, o kò gbọdọ̀ sá asalà. Foju inu wo gbogbo wàhalà ti eni ti o jí ọ gbé ti ṣe kí o tó lè jí ọ gbé.","Tí ẹnìkan ba ji o gbé ti o sì ní anfaàni lati sa asalà, o ko gbodọ̀ sá asala. Foju inu wo gbogbo wahala tí eni ti o jí ọ gbé ti ṣe ki o to lè ji o gbe.","sarcastic","Instagram","original"
"392","Tí o bá fẹ́ ṣe ìgbéyàwó, tí o sì ń ṣiyèméjì bóyá ó yẹ kí o fẹ́ ọ̀rẹ́kùnrin rẹ tí ó máa ń lù ọ́ ní gbogbo ìgbà tàbí kí o má fẹ, ó yẹ kí o fẹ́ẹ, bí bẹ́ẹ̀ kọ́, o lè máa dá ara rẹ lẹ́bi pé o kò fún un ní àǹfààní láti ṣàyẹ̀wò bóyá ó lè yípadà.","Ti o ba fe se igbeyawo, ti o si n siyemeji boya o ye ki o fe orekunrin re ti o maa n lu o ni gbogbo igba tabi ki o ma fe, o ye ki o fee, bi bee ko, o le maa da ara re lebi pe o ko fun un ni anfaani lati sayewo boya o le yipada.","Tí o bá fẹ se ìgbéyàwó, ti o si ń ṣiyèméjì bóyá o yẹ kí o fẹ́ ọrekùnrin re tí ó máa ń lù ó ní gbogbo ìgbà tàbí kí o má fẹ, ó yẹ ki o fẹ́e, bi bẹ́è kọ́, o lè máa dá ara rẹ lébi pé o kò fún un ní anfaaní láti ṣàyèwò bóya o lè yipada.","Ti o ba fe ṣe ìgbeyawó, tí o sì ń siyèméji boyá o ye ki o fe ọ̀rẹkùnrin re ti ó máa n lu o ní gbogbo igba tàbí kí o má fe, o ye kí o fẹe, bi bẹ́è ko, o lè máa dá ara rẹ lẹbi pé o ko fún un ni anfàaní láti ṣàyẹ̀wò bóyá ó le yipadà.","Tí o ba fe se igbeyawo, ti o si n siyemeji boya o ye kí o fe orekùnrin re tí o maa n lu ọ ni gbogbo ìgbà tàbi ki o má fẹ, o ye kí o fẹe, bi bée ko, o le maa da ara re lebi pe o ko fun un ni ànfaani lati ṣayewo boyá o le yípada.","sarcastic","Instagram","original"
