POLICY_NO,PRODUCT,BRANCH_NAME,REGION,ZONE_NAME,Plan,Sum_Assured,Premium,Sub_Plan,Vintage_Period
I-2008072588294,TRAVEL,Relianceada Cell(Group Business),Mumbai II,South,Individual  Silver,2125000,676.5,Silver,158
I-2008072688324,TRAVEL,Baroda,Gujarat II,North,Individual  Standa,75000,554,Standard,294
I-2008072688355,TRAVEL,Goa,ROM and Goa,South,Individual  Platin,20000000,626,Platinum,6
I-2008072688362,TRAVEL,Mahim,Mumbai I,South,Individual  Silver,4000000,4897,Silver,119
I-2008072688369,TRAVEL,Goa,ROM and Goa,South,Individual  Platin,20000000,626,Platinum,6
I-2008072688416,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,877,Standard,35
I-2008072688512,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,406,Standard,7
I-2008072688577,TRAVEL,Borivali,Mumbai II,South,Individual  Silver,4000000,595,Silver,14
I-2008072688596,TRAVEL,Borivali,Mumbai II,South,Individual  Silver,4000000,595,Silver,14
I-2008072688635,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,549,Standard,8
I-2008072688785,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,3561,Standard,179
I-2008072788933,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,549,Standard,9
I-2008072889151,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Individual  Silver,4000000,1381,Silver,35
I-2008072889382,TRAVEL,Connaught Place,Delhi II,North,Individual  Gold P,10000000,546,Gold,7
I-2008072889437,TRAVEL,Janakpuri,Delhi II,North,Individual  Silver,4000000,1004,Silver,21
I-2008072889477,TRAVEL,Connaught Place,Delhi II,North,Individual  Gold P,5050000,491.5,Silver,61
I-2008072889482,TRAVEL,Kanpur,UP AND UTRANCHAL,North,Individual  Standa,2000000,764,Standard,28
I-2008072989779,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,877,Standard,35
I-2008072989997,TRAVEL,Cochin,Kerala,South,Individual  Standa,2000000,549,Standard,14
I-2008072990125,TRAVEL,Pitampura,Delhi II,North,Individual  Silver,4200000,595,Silver,13
I-2008072990166,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Individual  Silver,4000000,733,Silver,21
I-2008072990185,TRAVEL,Nehru Place,Delhi I,North,Individual  Gold P,10000000,1067,Gold,14
I-2008072990234,TRAVEL,Kolkata I,West Bengal,East,Individual  Standa,7750000,2105.453333,Standard,733
I-2008072990353,TRAVEL,Nariman Point,Mumbai I,South,Individual  Gold P,10000000,716,Gold,14
I-2008072990359,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,6428,Standard,181
I-2008072990367,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,680,Standard,14
I-2008073090451,TRAVEL,Coimbatore,Tamilnadu,South,Individual  Standa,2000000,877,Standard,34
I-2008073090614,TRAVEL,Dehradun,UP AND UTRANCHAL,North,Individual  Silver,4000000,437,Silver,7
I-2008073090756,TRAVEL,Bangalore I,Karnatka,South,Individual  Gold P,250000,1371,Gold,25
I-2008073090762,TRAVEL,Cochin,Kerala,South,Individual  Silver,4000000,437,Silver,7
I-2008073091132,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,1398,Standard,61
I-2008073091226,TRAVEL,Vikas Marg,Delhi II,North,Individual  Standa,2000000,3561,Standard,181
I-2008073091235,TRAVEL,Andheri,Mumbai II,South,Individual  Gold P,10000000,716,Gold,14
I-2008073091275,TRAVEL,Anand,Gujarat II,North,Individual  Platin,20000000,1951,Platinum,35
I-2008073191348,TRAVEL,Nehru Place,Delhi I,North,Individual  Gold P,10000000,916,Gold,42
I-2008073191480,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,549,Standard,14
I-2008073191500,TRAVEL,Malad,Mumbai II,South,Individual  Gold P,10000000,1668,Gold,62
I-2008073191635,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,3008333.333,1339.33,Standard,511
I-2008073191665,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Silver,4000000,437,Silver,7
I-2008073191814,TRAVEL,Pitampura,Delhi II,North,Individual  Standa,2000000,2002,Standard,91
I-2008073191822,TRAVEL,Andheri,Mumbai II,South,Individual  Gold P,10000000,1070,Gold,27
I-2008073191827,TRAVEL,Bangalore I,Karnatka,South,Individual  Silver,4000000,867,Silver,24
I-2008073191858,TRAVEL,Bangalore I,Karnatka,South,Individual  Gold P,10000000,1070,Gold,22
I-2008073191918,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,2303,Standard,62
I-2008073191919,TRAVEL,Bangalore I,Karnatka,South,Individual  Silver,100000,595,Silver,26
I-2008080192039,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,477.5,Standard,48
I-2008080192100,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Standa,2000000,549,Standard,8
I-2008080192213,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,1025000,615,Standard,392
I-2008080192338,TRAVEL,Bangalore I,Karnatka,South,Individual  Silver,4000000,1004,Silver,20
I-2008080192380,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,877,Standard,166
I-2008080192469,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,406,Standard,7
I-2008080192484,TRAVEL,Kolkata I,West Bengal,East,Individual  Platin,20000000,836,Platinum,14
I-2008080192494,TRAVEL,Hyderabad II,Andhra Pradesh I,South,Individual  Silver,2050000,1436.75,Silver,168
I-2008080292610,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,479,Standard,7
I-2008080292621,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008080292636,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008080292675,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008080292824,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Silver,4000000,595,Silver,14
I-2008080292883,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,892,Standard,28
I-2008080292948,TRAVEL,Pitampura,Delhi II,North,Individual  Silver,4000000,1207,Silver,28
I-2008080293013,TRAVEL,Ahmedabad I,Gujarat I,North,Individual  Platin,10250000,836,Platinum,119
I-2008080293025,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,2002,Standard,91
I-2008080293098,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,549,Standard,8
I-2008080293129,TRAVEL,Nariman Point,Mumbai I,South,Individual  Gold P,10000000,916,Gold,21
I-2008080293215,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,877,Standard,30
I-2008080293217,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,877,Standard,30
I-2008080493309,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Gold P,10000000,1198,Gold,17
I-2008080493324,TRAVEL,Kanpur,UP AND UTRANCHAL,North,Individual  Silver,4000000,733,Silver,21
I-2008080493400,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Individual  Gold P,10000000,716,Gold,14
I-2008080493427,TRAVEL,Pitampura,Delhi II,North,Individual  Silver,4000000,914,Silver,14
I-2008080493487,TRAVEL,Noida,Delhi II,North,Individual  Silver,4000000,867,Silver,28
I-2008080493664,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Silver,2025000,421.5,Standard,70
I-2008080493696,TRAVEL,Ludhiana,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,2442,Standard,119
I-2008080493710,TRAVEL,Bangalore I,Karnatka,South,Individual  Gold P,10000000,729,Gold,24
I-2008080493717,TRAVEL,Cochin,Kerala,South,Individual  Standa,2000000,549,Standard,14
I-2008080493783,TRAVEL,Pune,ROM and Goa,South,Individual  Standa,2000000,406,Standard,6
I-2008080593879,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,877,Standard,35
I-2008080593970,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2666666.667,1484,Standard,274
I-2008080594151,TRAVEL,Pitampura,Delhi II,North,Individual  Silver,4000000,524,Silver,5
I-2008080594347,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,406,Standard,7
I-2008080594375,TRAVEL,Surat,Gujarat II,North,Individual  Silver,4000000,4264,Silver,105
I-2008080594432,TRAVEL,Kolkata I,West Bengal,East,Individual  Platin,20000000,626,Platinum,7
I-2008080594451,TRAVEL,Kolkata I,West Bengal,East,Individual  Platin,20000000,626,Platinum,7
I-2008080594470,TRAVEL,Kolkata I,West Bengal,East,Individual  Platin,20000000,912,Platinum,7
I-2008080594473,TRAVEL,Pune,ROM and Goa,South,Individual  Gold P,10000000,1067,Gold,14
I-2008080594500,TRAVEL,Kolkata I,West Bengal,East,Individual  Platin,20000000,626,Platinum,7
I-2008080594539,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,2002,Standard,91
I-2008080594562,TRAVEL,Kolkata I,West Bengal,East,Individual  Platin,20000000,626,Platinum,7
I-2008080594568,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Silver,4000000,595,Silver,12
I-2008080594590,TRAVEL,Kolkata I,West Bengal,East,Individual  Platin,20000000,626,Platinum,7
I-2008080594616,TRAVEL,Agra,UP AND UTRANCHAL,North,Individual  Silver,4000000,914,Silver,14
I-2008080694646,TRAVEL,Nariman Point,Mumbai I,South,Individual  Gold P,10000000,7319,Gold,147
I-2008080694664,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,877,Standard,73
I-2008080694681,TRAVEL,Pitampura,Delhi II,North,Individual  Standa,2000000,549,Standard,14
I-2008080694708,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,549,Standard,14
I-2008080694761,TRAVEL,Hyderabad II,Andhra Pradesh I,South,Individual  Standa,2000000,406,Standard,7
I-2008080694765,TRAVEL,Hyderabad II,Andhra Pradesh I,South,Individual  Standa,2000000,406,Standard,7
I-2008080694782,TRAVEL,Hyderabad II,Andhra Pradesh I,South,Individual  Standa,2000000,479,Standard,7
I-2008080694805,TRAVEL,Bangalore I,Karnatka,South,Individual  Silver,2000000,498,Silver,48
I-2008080694940,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,2058,Standard,92
I-2008080694986,TRAVEL,Noida,Delhi II,North,Individual  Silver,4000000,733,Silver,21
I-2008080695121,TRAVEL,Pune,ROM and Goa,South,Individual  Gold P,10000000,1073.5,Gold,109
I-2008080695149,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,877,Standard,34
I-2008080695160,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,549,Standard,14
I-2008080695201,TRAVEL,Bhopal,MP And Chattishgarh,East,Individual  Standa,2000000,764,Standard,27
I-2008080695215,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,877,Standard,35
I-2008080695216,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Silver,4000000,595,Silver,11
I-2008080695288,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,681,Standard,16
I-2008080695306,TRAVEL,Ludhiana,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,2002,Standard,90
I-2008080695322,TRAVEL,Nariman Point,Mumbai I,South,Individual  Gold P,10000000,716,Gold,14
I-2008080795457,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,3561,Standard,182
I-2008080795466,TRAVEL,Belapur,Mumbai I,South,Individual  Silver,4000000,437,Silver,47
I-2008080795511,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,406,Standard,7
I-2008080795619,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,406,Standard,7
I-2008080795629,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,406,Standard,7
I-2008080795665,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,406,Standard,7
I-2008080795689,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,406,Standard,7
I-2008080795730,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,406,Standard,7
I-2008080795744,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,406,Standard,7
I-2008080795753,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,479,Standard,7
I-2008080795765,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,479,Standard,7
I-2008080795788,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,1025000,877,Standard,78
I-2008080795815,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2000000,406,Standard,7
I-2008080795823,TRAVEL,Nariman Point,Mumbai I,South,Individual  Silver,4000000,595,Silver,14
I-2008080796042,TRAVEL,Kolkata I,West Bengal,East,Individual  Silver,4000000,997,Silver,30
I-2008080796076,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,2002,Standard,91
I-2008080796087,TRAVEL,Kanpur,UP AND UTRANCHAL,North,Individual  Gold P,10000000,1067,Gold,14
I-2008080796166,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Gold P,10000000,546,Gold,7
I-2008080796226,TRAVEL,Surat,Gujarat II,North,Individual  Silver,4000000,437,Silver,6
I-2008080796238,TRAVEL,Pitampura,Delhi II,North,Individual  Silver,4000000,3731,Silver,90
I-2008080796246,TRAVEL,Nariman Point,Mumbai I,South,Individual  Silver,4000000,733,Silver,21
I-2008080796288,TRAVEL,Ludhiana,Punjab And Jammu  Kashmir,North,Individual  Silver,4000000,1183,Silver,39
I-2008080796303,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008080796311,TRAVEL,Chennai II,Tamilnadu,South,Individual  Standa,2000000,549,Standard,12
I-2008080896387,TRAVEL,Noida,Delhi II,North,Individual  Standa,1220000,463.2,Standard,144
I-2008080896432,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,1017,Standard,33
I-2008080896482,TRAVEL,Andheri,Mumbai II,South,Individual  Silver,4000000,1905,Silver,46
I-2008080896533,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Gold P,10000000,651,Gold,7
I-2008080896570,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,549,Standard,14
I-2008080896577,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Gold P,10000000,546,Gold,7
I-2008080896604,TRAVEL,Nehru Place,Delhi I,North,Individual  Silver,4000000,1381,Silver,35
I-2008080896615,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,1274,Standard,50
I-2008080896637,TRAVEL,Chembur,Mumbai I,South,Individual  Silver,100000,1382,Silver,365
I-2008080896650,TRAVEL,Kanpur,UP AND UTRANCHAL,North,Individual  Standa,2000000,549,Standard,14
I-2008080896654,TRAVEL,Bhopal,MP And Chattishgarh,East,Individual  Silver,4000000,997,Silver,35
I-2008080896661,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,549,Standard,14
I-2008080896665,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,584,Standard,14
I-2008080896721,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Individual  Silver,4000000,595,Silver,53
I-2008080896808,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Gold P,10000000,546,Gold,7
I-2008080896884,TRAVEL,Andheri,Mumbai II,South,Individual  Standa,2000000,681,Standard,17
I-2008080896903,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,406,Standard,6
I-2008080896909,TRAVEL,Bangalore I,Karnatka,South,Individual  Silver,4000000,437,Silver,7
I-2008080896982,TRAVEL,Nariman Point,Mumbai I,South,Individual  Platin,20000000,836,Platinum,14
I-2008080896989,TRAVEL,Nariman Point,Mumbai I,South,Individual  Platin,20000000,836,Platinum,14
I-2008080997052,TRAVEL,Visakapatnam,Andhra Pradesh II,South,Individual  Gold P,250000,3374,Gold,126
I-2008080997074,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,549,Standard,9
I-2008080997128,TRAVEL,Noida,Delhi II,North,Individual  Platin,20000000,2253,Platinum,42
I-2008080997155,TRAVEL,Andheri,Mumbai II,South,Individual  Gold P,10000000,916,Gold,16
I-2008080997168,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Individual  Silver,10025000,916.5,Silver,366
I-2008080997236,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,549,Standard,14
I-2008080997300,TRAVEL,Connaught Place,Delhi II,North,Individual  Silver,4000000,437,Silver,7
I-2008080997330,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Gold P,10000000,716,Gold,8
I-2008080997337,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,1476,Standard,35
I-2008080997409,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Individual  Gold P,10000000,5273,Gold,181
I-2008080997530,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Silver,4000000,867,Silver,23
I-2008080997542,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Silver,4000000,867,Silver,23
I-2008080997574,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,549,Standard,13
I-2008080997608,TRAVEL,Ludhiana,Punjab And Jammu  Kashmir,North,Individual  Platin,20000000,836,Platinum,10
I-2008080997740,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Silver,4000000,997,Silver,35
I-2008080997745,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Silver,4000000,997,Silver,35
I-2008080997748,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Silver,4000000,997,Silver,35
I-2008081197891,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,1900,Standard,84
I-2008081197929,TRAVEL,Cochin,Kerala,South,Individual  Standa,2000000,2002,Standard,91
I-2008081197945,TRAVEL,Hyderabad III,Andhra Pradesh I,South,Individual  Standa,2000000,2002,Standard,91
I-2008081197998,TRAVEL,Nariman Point,Mumbai I,South,Individual  Gold P,10000000,987.5,Gold,75
I-2008081198020,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081198038,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081198044,TRAVEL,Vapi,Gujarat II,North,Individual  Silver,4000000,796,Silver,232
I-2008081198045,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081198061,TRAVEL,Ahmedabad I,Gujarat I,North,Individual  Platin,500000,1951,Platinum,32
I-2008081198111,TRAVEL,Surat,Gujarat II,North,Individual  Silver,4000000,733,Silver,19
I-2008081198174,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,549,Standard,14
I-2008081198192,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Individual  Standa,2000000,406,Standard,7
I-2008081198209,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,0,Standard,7
I-2008081198238,TRAVEL,Cochin,Kerala,South,Individual  Standa,2000000,2002,Standard,91
I-2008081198248,TRAVEL,Vijayawada,Andhra Pradesh II,South,Individual  Silver,4000000,1004,Silver,21
I-2008081198267,TRAVEL,Jaipur,Rajasthan,North,Individual  Standa,2000000,1476,Standard,35
I-2008081198276,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081198303,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,479,Standard,7
I-2008081198317,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081198323,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081198329,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081198331,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081198419,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Individual  Standa,2000000,406,Standard,7
I-2008081198434,TRAVEL,Ludhiana,Punjab And Jammu  Kashmir,North,Individual  Standa,25000,1068.99,Standard,320
I-2008081198436,TRAVEL,Ludhiana,Punjab And Jammu  Kashmir,North,Individual  Standa,0,100,Standard,60
I-2008081198445,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,1017,Standard,35
I-2008081198496,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,681,Standard,21
I-2008081298504,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,1025000,406,Standard,368
I-2008081298519,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081298637,TRAVEL,Bangalore I,Karnatka,South,Individual  Platin,20000000,1951,Platinum,32
I-2008081298644,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Individual  Platin,20000000,2826.5,Platinum,98
I-2008081298696,TRAVEL,Dehradun,UP AND UTRANCHAL,North,Individual  Standa,2000000,1274,Standard,56
I-2008081298776,TRAVEL,Pitampura,Delhi II,North,Individual  Standa,2000000,406,Standard,4
I-2008081298777,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,549,Standard,8
I-2008081298789,TRAVEL,Pitampura,Delhi II,North,Individual  Standa,2000000,1570,Standard,49
I-2008081298815,TRAVEL,Ajmer,Rajasthan,North,Individual  Standa,2000000,6428,Standard,180
I-2008081298956,TRAVEL,Bangalore I,Karnatka,South,Individual  Gold P,10000000,1226,Gold,13
I-2008081299039,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Gold P,10000000,546,Gold,7
I-2008081299080,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,549,Standard,13
I-2008081299112,TRAVEL,Nariman Point,Mumbai I,South,Individual  Silver,4000000,914,Silver,14
I-2008081299183,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,584,Standard,9
I-2008081299206,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,406,Standard,7
I-2008081299214,TRAVEL,Trivandrum,Kerala,South,Individual  Standa,2000000,973.5,Standard,70
I-2008081299239,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,549,Standard,14
I-2008081299256,TRAVEL,Andheri,Mumbai II,South,Individual  Standa,2000000,3561,Standard,182
I-2008081299269,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,406,Standard,7
I-2008081299280,TRAVEL,Nehru Place,Delhi I,North,Individual  Gold P,10000000,546,Gold,7
I-2008081299290,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,1274,Standard,56
I-2008081299324,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,549,Standard,14
I-2008081300068,TRAVEL,Hubli,Karnatka,South,Individual  Silver,4000000,2917,Silver,91
I-2008081300089,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Silver,4000000,733,Silver,16
I-2008081300094,TRAVEL,Bhikajicama Palace,Delhi I,North,Individual  Silver,4000000,437,Silver,7
I-2008081300118,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,1025000,406,Standard,66
I-2008081300126,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081300135,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,1476,Standard,35
I-2008081399383,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,681,Standard,16
I-2008081399424,TRAVEL,Connaught Place,Delhi II,North,Individual  Standa,2000000,549,Standard,8
I-2008081399556,TRAVEL,Nehru Place,Delhi I,North,Individual  Gold P,10000000,1005,Gold,16
I-2008081399566,TRAVEL,Bangalore I,Karnatka,South,Individual  Platin,20000000,1785,Platinum,28
I-2008081399606,TRAVEL,Nariman Point,Mumbai I,South,Individual  Silver,4000000,796,Silver,177
I-2008081399729,TRAVEL,Nagpur,ROM and Goa,South,Individual  Platin,17214285.71,1684.428571,Platinum,327
I-2008081399824,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Individual  Standa,2000000,406,Standard,7
I-2008081399835,TRAVEL,Gurgaon,Delhi I,North,Individual  Gold P,10000000,716,Gold,10
I-2008081399962,TRAVEL,Andheri,Mumbai II,South,Individual  Standa,2000000,406,Standard,6
I-2008081399995,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,406,Standard,7
I-2008081400307,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Individual  Standa,2000000,406,Standard,7
I-2008081400353,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,549,Standard,14
I-2008081400373,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Gold P,10000000,546,Gold,7
I-2008081400426,TRAVEL,Andheri,Mumbai II,South,Individual  Silver,4000000,524,Silver,6
I-2008081400565,TRAVEL,Hyderabad II,Andhra Pradesh I,South,Individual  Standa,2000000,877,Standard,66
I-2008081400580,TRAVEL,Visakapatnam,Andhra Pradesh II,South,Individual  Platin,500000,1786,Platinum,28
I-2008081400723,TRAVEL,Surat,Gujarat II,North,Individual  Platin,20000000,1598,Platinum,16
I-2008081400735,TRAVEL,Chennai II,Tamilnadu,South,Individual  Gold P,10000000,1210,Gold,32
I-2008081400746,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Silver,4000000,524,Silver,7
I-2008081400772,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,549,Standard,10
I-2008081400776,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,549,Standard,10
I-2008081400779,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Individual  Standa,2000000,549,Standard,10
I-2008081600862,TRAVEL,Bangalore I,Karnatka,South,Individual  Standa,2000000,2058,Standard,92
I-2008081600924,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081600948,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,479,Standard,7
I-2008081600975,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081600998,TRAVEL,Nariman Point,Mumbai I,South,Individual  Standa,2000000,584,Standard,14
I-2008081601007,TRAVEL,Borivali,Mumbai II,South,Individual  Gold P,10000000,1067,Gold,14
I-2008081601070,TRAVEL,Chinchwad,ROM and Goa,South,Individual  Gold P,10000000,916,Gold,21
I-2008081601071,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081601127,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Individual  Silver,4000000,733,Silver,21
I-2008081601220,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Individual  Standa,2000000,1398,Standard,58
I-2008081601286,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,549,Standard,14
I-2008081801478,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081801492,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081801565,TRAVEL,Connaught Place,Delhi II,North,Individual  Silver,4000000,437,Silver,4
I-2008081801631,TRAVEL,Connaught Place,Delhi II,North,Individual  Silver,4000000,914,Silver,14
I-2008081801654,TRAVEL,Ahmedabad II,Gujarat I,North,Individual  Standa,2683333.333,742,Standard,206
I-2008081801680,TRAVEL,Nehru Place,Delhi I,North,Individual  Standa,2000000,406,Standard,7
I-2008081801807,TRAVEL,Noida,Delhi II,North,Individual  Standa,2000000,584,Standard,14
